name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes,main_category
Generic Oreillette Bluetooth F9 5.0 - Noir,6 610 FCFA,https://www.jumia.sn/generic-oreillette-bluetooth-f9-5.0-noir-8852766.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/72588/1.jpg?0208,True,12 961 FCFA,49%,3.9 out of 5,(20),Téléphones & Tablettes
TWS Ecouteurs Pro8s qualité garantie blanc,8 990 FCFA,https://www.jumia.sn/tws-ecouteurs-pro8s-qualite-garantie-blanc-9847069.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/07489/1.jpg?8600,False,35 000 FCFA,74%,,,Téléphones & Tablettes
Generic Câble De Charge Magnétique - 3 En 1,1 998 FCFA,https://www.jumia.sn/generic-cable-de-charge-magnetique-3-en-1-8360321.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/30638/1.jpg?3447,True,3 918 FCFA,49%,3.9 out of 5,(32),Téléphones & Tablettes
"Mione F6 -Écran1.77"" - RAM 64 Mo - ROM 32 Mo - Dual Sim - Batterie 10000 mAh - Noir",4 900 FCFA,https://www.jumia.sn/mione-f6-ecran1.77-ram-64-mo-rom-32-mo-dual-sim-batterie-10000-mah-noir-10003104.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/130001/1.jpg?7228,True,10 000 FCFA,51%,,,Téléphones & Tablettes
"Tecno Pova Neo- Ecran 6.8"" - ROM 64Go - RAM 4Go - Caméra13MP/8MP Dual flash Batterie 6000mAh - Bleu",60 900 FCFA,https://www.jumia.sn/tecno-pova-neo-ecran-6.8-rom-64go-ram-4go-camera13mp8mp-dual-flash-batterie-6000mah-bleu-9844854.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/84489/1.jpg?0177,True,100 000 FCFA,39%,4 out of 5,(1),Téléphones & Tablettes
"Tecno T101-Écran1.77"" - RAM 32 Mo - ROM 32 Mo - Dual Sim - Batterie 1000 mAh - Noir",5 900 FCFA,https://www.jumia.sn/tecno-t101-ecran1.77-ram-32-mo-rom-32-mo-dual-sim-batterie-1000-mah-noir-8841036.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/01488/1.jpg?3376,True,10 000 FCFA,41%,3.8 out of 5,(96),Téléphones & Tablettes
White Support multi-angles pour tablette & téléphone portable,1 900 FCFA,https://www.jumia.sn/white-support-multi-angles-pour-tablette-telephone-portable-9733649.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/63379/1.jpg?8495,False,4 500 FCFA,58%,4.3 out of 5,(21),Téléphones & Tablettes
Generic Casque De Sport Bluetooth Intra-auriculaire Intelligent Casque Stéréo Sans Fil Casque De Jeu,4 870 FCFA,https://www.jumia.sn/generic-casque-de-sport-bluetooth-intra-auriculaire-intelligent-casque-stereo-sans-fil-casque-de-jeu-9832499.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/42389/1.jpg?0035,True,10 660 FCFA,54%,,,Téléphones & Tablettes
"Tecno POP 5 Go - 3G - Ecran 5.71"" - ROM 16Go Ram 1Go - Caméra front 5MP arrière 5MP - Batterie 4000mAh - Bleu",35 750 FCFA,https://www.jumia.sn/tecno-pop-5-go-3g-ecran-5.71-rom-16go-ram-1go-camera-front-5mp-arriere-5mp-batterie-4000mah-bleu-9844336.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/34489/1.jpg?2473,True,50 000 FCFA,29%,4 out of 5,(3),Téléphones & Tablettes
Samsung Galaxy A12 – Ecran 6.5″ - ROM 128GB - RAM 4GB - Caméra 48MP - Bleu,87 700 FCFA,https://www.jumia.sn/samsung-galaxy-a12-ecran-6.5-rom-128gb-ram-4gb-camera-48mp-bleu-10001120.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/110001/1.jpg?4777,True,95 000 FCFA,8%,5 out of 5,(1),Téléphones & Tablettes
Tecno Spark 8C – Écran 6.6″ – ROM 64GB – RAM 2GB – Caméra 13/8MP – Gris,63 900 FCFA,https://www.jumia.sn/tecno-spark-8c-ecran-6.6-rom-64gb-ram-2gb-camera-138mp-gris-9979136.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/19799/1.jpg?8434,True,100 000 FCFA,36%,4 out of 5,(7),Téléphones & Tablettes
Generic Montres Bluetooth Intelligentes Pour Bandes Ios Et Android,5 390 FCFA,https://www.jumia.sn/generic-montres-bluetooth-intelligentes-pour-bandes-ios-et-android-9832503.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/52389/1.jpg?0035,True,9 945 FCFA,46%,,,Téléphones & Tablettes
"Samsung Galaxy A03S - 4G - 6.5"" - RAM 4Go - ROM 64Go - Caméra 13+2+2MP - Empreinte digitale",74 500 FCFA,https://www.jumia.sn/samsung-galaxy-a03s-4g-6.5-ram-4go-rom-64go-camera-1322mp-empreinte-digitale-9795740.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/75979/1.jpg?0977,True,80 000 FCFA,7%,4.5 out of 5,(13),Téléphones & Tablettes
Generic Etui Pour Airpods - Noir,1 000 FCFA,https://www.jumia.sn/etui-pour-airpods-noir-generic-mpg33451.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/283/1.jpg?7747,False,,,3.3 out of 5,(92),Téléphones & Tablettes
"Samsung Galaxy A13 - 6.6"" - RAM 4Go - ROM 64Go - Caméra 50+5+2+2MP - 5000mAh – Black",96 960 FCFA,https://www.jumia.sn/samsung-galaxy-a13-6.6-ram-4go-rom-64go-camera-50522mp-5000mah-black-9961272.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/21699/1.jpg?6949,True,104 900 FCFA,8%,5 out of 5,(3),Téléphones & Tablettes
XIAOMI Redmi Power Bank 10000mAh PB100LZM Powerbank - Noir,9 800 FCFA,https://www.jumia.sn/xiaomi-redmi-power-bank-10000mah-pb100lzm-powerbank-noir-8909821.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/89098/1.jpg?8203,True,20 000 FCFA,51%,4.3 out of 5,(17),Téléphones & Tablettes
