torrent name,size,Seed,Leech,link
Riverdale S06E16 FRENCH HDTV,229.5 MB,91,9,https://www.oxtorrent.co/torrent/91637/riverdale-s06e16-french-hdtv
FBI: International S01E13 FRENCH HDTV,263.3 MB,243,23,https://www.oxtorrent.co/torrent/91636/fbi-international-s01e13-french-hdtv
New York Crime Organisé S02E16 FRENCH HDTV,274.9 MB,171,17,https://www.oxtorrent.co/torrent/91635/new-york-crime-organis-s02e16-french-hdtv
All Rise S02E07 FRENCH HDTV,298.1 MB,124,7,https://www.oxtorrent.co/torrent/91634/all-rise-s02e07-french-hdtv
NCIS: Hawai'i S01E07 FRENCH HDTV,337.7 MB,205,17,https://www.oxtorrent.co/torrent/91633/ncis-hawai-i-s01e07-french-hdtv
Le Coeur a ses raisons S09E12 VOSTFR HDTV,337.0 MB,8,1,https://www.oxtorrent.co/torrent/91632/le-coeur-a-ses-raisons-s09e12-vostfr-hdtv
Fear The Walking Dead S07E15 FRENCH HDTV,447.1 MB,209,11,https://www.oxtorrent.co/torrent/91631/fear-the-walking-dead-s07e15-french-hdtv
The Time Traveler's Wife S01E03 FRENCH HDTV,268.4 MB,121,3,https://www.oxtorrent.co/torrent/91630/the-time-traveler-s-wife-s01e03-french-hdtv
The Time Traveler's Wife S01E03 VOSTFR HDTV,268.5 MB,12,1,https://www.oxtorrent.co/torrent/91629/the-time-traveler-s-wife-s01e03-vostfr-hdtv
The Baby S01E06 FRENCH HDTV,235.9 MB,68,9,https://www.oxtorrent.co/torrent/91628/the-baby-s01e06-french-hdtv
The Baby S01E06 VOSTFR HDTV,236.0 MB,6,0,https://www.oxtorrent.co/torrent/91627/the-baby-s01e06-vostfr-hdtv
